fare_id,route_id,origin_id,destination_id,contains_id
1,9152,,,
1,1002,,,
1,1003,,,
1,1006,,,
1,1071,,,
1,1072,,,
1,1108,,,
1,1109,,,
1,1110,,,
1,1900,,,
1,1901,,,
1,1010,,,
1,1012,,,
1,9159,,,
1,9160,,,
1,9161,,,
1,9162,,,
1,9163,,,
1,9164,,,
1,9165,,,
1,9166,,,
1,9167,,,
1,9168,,,
1,1028,,,
1,1029,,,
1,9170,,,
1,1030,,,
1,1045,,,
1,9172,,,
1,9173,,,
1,9174,,,
1,9175,,,
1,9176,,,
1,9177,,,
1,9178,,,
1,9179,,,
1,9180,,,
1,9181,,,
1,9182,,,
1,9183,,,
1,9184,,,
1,9185,,,
1,9186,,,
1,9187,,,
2,1059,,,
2,1060,,,
2,9189,,,
1,9190,,,
1,9191,,,
1,9192,,,
1,1080,,,
1,1081,,,
1,1082,,,
1,9194,,,
1,9195,,,
1,9196,,,
1,9197,,,
1,9198,,,
1,1094,,,
1,1093,,,
1,1101,,,
1,1102,,,
1,1103,,,
1,1104,,,
1,1105,,,
1,1106,,,
1,1197,,,
1,1199,,,
1,1198,,,
1,1196,,,
1,9204,,,
1,1033,,,
1,1034,,,
1,1031,,,
1,1032,,,
1,1038,,,
1,1039,,,
1,9209,,,
1,1115,,,
1,1114,,,
1,9211,,,
1,9212,,,
1,1005,,,
1,1055,,,
1,9308,,,
