service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
110-Coast-Sunday-51,0,0,0,0,0,0,1,20130113,20130609
110-Coast-Weekday-51,1,1,1,1,1,0,0,20130114,20130614
110-Coast-Weekday-51-SDON,1,1,1,1,1,0,0,20130114,20130614
110-Coast-Saturday-51,0,0,0,0,0,1,0,20130119,20130615
111-A-Sunday-50,0,0,0,0,0,0,1,20130616,20130811
111-A-Weekday-50,1,1,1,1,1,0,0,20130617,20130816
111-A-Weekday-50-SDON,1,1,1,1,1,0,0,20130617,20130816
111-A-Saturday-50,0,0,0,0,0,1,0,20130622,20130817
110-CUB-Sunday-90,0,0,0,0,0,0,1,20130113,20130609
110-CUB-Weekday-92,1,1,1,1,1,0,0,20130114,20130315
110-CUB-Weekday-92-SDON,1,1,1,1,1,0,0,20130114,20130315
110-CUB-Weekday-92-SDOFF,1,1,1,1,1,0,0,20130114,20130315
110-CUB-Weekday-92-SDON-0100000,0,1,0,0,0,0,0,20130114,20130315
110-CUB-Weekday-92-SDON-0010000,0,0,1,0,0,0,0,20130114,20130315
110-CUB-Weekday-92-SDON-1011100,1,0,1,1,1,0,0,20130114,20130315
110-CUB-Weekday-92-SDON-1101100,1,1,0,1,1,0,0,20130114,20130315
110-CUB-Saturday-90,0,0,0,0,0,1,0,20130119,20130309
110-CUB-Saturday-91,0,0,0,0,0,1,0,20130316,20130504
110-CUB-Weekday-54,1,1,1,1,1,0,0,20130318,20130322
110-CUB-Weekday-54-SDON,1,1,1,1,1,0,0,20130318,20130322
110-CUB-Weekday-54-SDOFF,1,1,1,1,1,0,0,20130318,20130322
110-CUB-Weekday-54-SDON-0100000,0,1,0,0,0,0,0,20130318,20130322
110-CUB-Weekday-54-SDON-0010000,0,0,1,0,0,0,0,20130318,20130322
110-CUB-Weekday-54-SDON-1011100,1,0,1,1,1,0,0,20130318,20130322
110-CUB-Weekday-54-SDON-1101100,1,1,0,1,1,0,0,20130318,20130322
110-CUB-Weekday-94,1,1,1,1,1,0,0,20130325,20130614
110-CUB-Weekday-94-SDON,1,1,1,1,1,0,0,20130325,20130614
110-CUB-Weekday-94-SDOFF,1,1,1,1,1,0,0,20130325,20130614
110-CUB-Weekday-94-SDON-0100000,0,1,0,0,0,0,0,20130325,20130614
110-CUB-Weekday-94-SDON-0010000,0,0,1,0,0,0,0,20130325,20130614
110-CUB-Weekday-94-SDON-1011100,1,0,1,1,1,0,0,20130325,20130614
110-CUB-Weekday-94-SDON-1101100,1,1,0,1,1,0,0,20130325,20130614
110-CUB-Saturday-51,0,0,0,0,0,1,0,20130511,20130511
110-CUB-Saturday-94,0,0,0,0,0,1,0,20130518,20130615
111-C-Sunday-50,0,0,0,0,0,0,1,20130616,20130811
111-C-Weekday-50,1,1,1,1,1,0,0,20130617,20130816
111-C-Saturday-50,0,0,0,0,0,1,0,20130622,20130817
110-District-Sunday-50,0,0,0,0,0,0,1,20130113,20130609
110-District-Weekday-51,1,1,1,1,1,0,0,20130114,20130208
110-District-Weekday-51-SDON,1,1,1,1,1,0,0,20130114,20130208
110-District-Weekday-51-SDOFF,1,1,1,1,1,0,0,20130114,20130208
110-District-Weekday-51-SDON-0010000,0,0,1,0,0,0,0,20130114,20130208
110-District-Weekday-51-SDON-1101100,1,1,0,1,1,0,0,20130114,20130208
110-District-Weekday-51-SDON-0001000,0,0,0,1,0,0,0,20130114,20130208
110-District-Weekday-51-SDON-1110100,1,1,1,0,1,0,0,20130114,20130208
110-District-Saturday-50,0,0,0,0,0,1,0,20130119,20130309
110-District-Weekday-52,1,1,1,1,1,0,0,20130211,20130308
110-District-Weekday-52-SDON,1,1,1,1,1,0,0,20130211,20130308
110-District-Weekday-52-SDOFF,1,1,1,1,1,0,0,20130211,20130308
110-District-Weekday-52-SDON-0010000,0,0,1,0,0,0,0,20130211,20130308
110-District-Weekday-52-SDON-1101100,1,1,0,1,1,0,0,20130211,20130308
110-District-Weekday-52-SDON-0001000,0,0,0,1,0,0,0,20130211,20130308
110-District-Weekday-52-SDON-1110100,1,1,1,0,1,0,0,20130211,20130308
110-District-Weekday-52-SDON-0011000,0,0,1,1,0,0,0,20130211,20130308
110-District-Weekday-52-SDON-1100100,1,1,0,0,1,0,0,20130211,20130308
110-District-Weekday-53,1,1,1,1,1,0,0,20130311,20130315
110-District-Weekday-53-SDON,1,1,1,1,1,0,0,20130311,20130315
110-District-Weekday-53-SDOFF,1,1,1,1,1,0,0,20130311,20130315
110-District-Weekday-53-SDON-0010000,0,0,1,0,0,0,0,20130311,20130315
110-District-Weekday-53-SDON-1101100,1,1,0,1,1,0,0,20130311,20130315
110-District-Weekday-53-SDON-0001000,0,0,0,1,0,0,0,20130311,20130315
110-District-Weekday-53-SDON-1110100,1,1,1,0,1,0,0,20130311,20130315
110-District-Weekday-53-SDON-0011000,0,0,1,1,0,0,0,20130311,20130315
110-District-Weekday-53-SDON-1100100,1,1,0,0,1,0,0,20130311,20130315
110-District-Saturday-52,0,0,0,0,0,1,0,20130316,20130316
110-District-Weekday-54,1,1,1,1,1,0,0,20130318,20130322
110-District-Weekday-54-SDON,1,1,1,1,1,0,0,20130318,20130322
110-District-Weekday-54-SDOFF,1,1,1,1,1,0,0,20130318,20130322
110-District-Weekday-54-SDON-0010000,0,0,1,0,0,0,0,20130318,20130322
110-District-Weekday-54-SDON-1101100,1,1,0,1,1,0,0,20130318,20130322
110-District-Weekday-54-SDON-0001000,0,0,0,1,0,0,0,20130318,20130322
110-District-Weekday-54-SDON-1110100,1,1,1,0,1,0,0,20130318,20130322
110-District-Weekday-54-SDON-0011000,0,0,1,1,0,0,0,20130318,20130322
110-District-Weekday-54-SDON-1100100,1,1,0,0,1,0,0,20130318,20130322
110-District-Saturday-54,0,0,0,0,0,1,0,20130323,20130615
110-District-Weekday-55,1,1,1,1,1,0,0,20130325,20130614
110-District-Weekday-55-SDON,1,1,1,1,1,0,0,20130325,20130614
110-District-Weekday-55-SDOFF,1,1,1,1,1,0,0,20130325,20130614
110-District-Weekday-55-SDON-0010000,0,0,1,0,0,0,0,20130325,20130614
110-District-Weekday-55-SDON-1101100,1,1,0,1,1,0,0,20130325,20130614
110-District-Weekday-55-SDON-0001000,0,0,0,1,0,0,0,20130325,20130614
110-District-Weekday-55-SDON-1110100,1,1,1,0,1,0,0,20130325,20130614
110-District-Weekday-55-SDON-0011000,0,0,1,1,0,0,0,20130325,20130614
110-District-Weekday-55-SDON-1100100,1,1,0,0,1,0,0,20130325,20130614
111-D-Sunday-18,0,0,0,0,0,0,1,20130616,20130811
111-D-Weekday-18,1,1,1,1,1,0,0,20130617,20130816
111-D-Weekday-18-SDON,1,1,1,1,1,0,0,20130617,20130816
111-D-Weekday-18-SDOFF,1,1,1,1,1,0,0,20130617,20130816
111-D-Weekday-18-SDON-0010000,0,0,1,0,0,0,0,20130617,20130816
111-D-Weekday-18-SDON-1101100,1,1,0,1,1,0,0,20130617,20130816
111-D-Saturday-18,0,0,0,0,0,1,0,20130622,20130817
