fare_id,route_id,origin_id,destination_id,contains_id
"OW_Adult_20130616",14-103,1,1,
"OW_Adult_20130616",14-109,1,1,
"OW_Adult_20130616",16-103,1,1,
"OW_Adult_20130616",17-103,1,1,
"OW_Adult_20130616",17-109,1,1,
"OW_Adult_20130616",24-103,1,1,
"OW_Adult_20130616",24-109,1,1,
"OW_Adult_20130616",35-103,1,1,
"OW_Adult_20130616",36-103,1,1,
"OW_Adult_20130616",38-103,1,1,
"OW_Adult_20130616",38-109,1,1,
"OW_Adult_20130616",43-103,1,1,
"OW_Adult_20130616",46-103,1,1,
"OW_Adult_20130616",53-103,1,1,
"OW_Adult_20130616",54-103,1,1,
"OW_Adult_20130616",55-103,1,1,
"OW_Adult_20130616",58-103,1,1,
"OW_Adult_20130616",72-103,1,1,
"OW_Adult_20130616",73-103,1,1,
"OW_Adult_20130616",83-103,1,1,
"OW_Adult_20130616",83-109,1,1,
"OW_Adult_20130616",85-103,1,1,
"OW_Adult_20130616",85-109,1,1,
"OW_Adult_20130616",110-103,1,1,
"OW_Adult_20130616",110-109,1,1,
"OW_Adult_20130616",112-103,1,1,
"OW_Adult_20130616",112-109,1,1,
"OW_Adult_20130616",118-103,1,1,
"OW_Adult_20130616",118-109,1,1,
"OW_Adult_20130616",120-103,1,1,
"OW_Adult_20130616",120-109,1,1,
"OW_Adult_20130616",121-103,1,1,
"OW_Adult_20130616",121-109,1,1,
"OW_Adult_20130616",122-103,1,1,
"OW_Adult_20130616",122-109,1,1,
"OW_Adult_20130616",123-103,1,1,
"OW_Adult_20130616",123-109,1,1,
"OW_Adult_20130616",130-103,1,1,
"OW_Adult_20130616",130-109,1,1,
"OW_Adult_20130616",132-103,1,1,
"OW_Adult_20130616",132-109,1,1,
"OW_Adult_20130616",133-103,1,1,
"OW_Adult_20130616",133-109,1,1,
"OW_Adult_20130616",140-103,1,1,
"OW_Adult_20130616",140-109,1,1,
"OW_Adult_20130616",141-103,1,1,
"OW_Adult_20130616",141-109,1,1,
"OW_Adult_20130616",250-103,1,1,
"OW_Adult_20130616",250-109,1,1,
"OW_Adult_20130616",251-103,1,1,
"OW_Adult_20130616",251-109,1,1,
"OW_Adult_20130616",260-103,1,1,
"OW_Adult_20130616",260-109,1,1,
"OW_Adult_20130616",262-103,1,1,
"OW_Adult_20130616",262-109,1,1,
"OW_Adult_20130616",270-103,1,1,
"OW_Adult_20130616",270-109,1,1,
"OW_Adult_20130616",271-103,1,1,
"OW_Adult_20130616",271-109,1,1,
"OW_Adult_20130616",274-103,1,1,
"OW_Adult_20130616",274-109,1,1,
"OW_Adult_20130616",280-103,1,1,
"OW_Adult_20130616",280-109,1,1,
"OW_Adult_20130616",281-103,1,1,
"OW_Adult_20130616",281-109,1,1,
"OW_Adult_20130616",292-103,1,1,
"OW_Adult_20130616",292-109,1,1,
"OW_Adult_20130616",294-103,1,1,
"OW_Adult_20130616",294-109,1,1,
"OW_Adult_20130616",295-103,1,1,
"OW_Adult_20130616",295-109,1,1,
"OW_Adult_20130616",296-103,1,1,
"OW_Adult_20130616",296-109,1,1,
"OW_Adult_20130616",297-103,1,1,
"OW_Adult_20130616",297-109,1,1,
"OW_Adult_20130616",359-103,1,1,
"OW_Adult_20130616",359-109,1,1,
"OW_Adult_20130616",390-103,1,1,
"OW_Adult_20130616",390-109,1,1,
"OW_Adult_20130616",391-103,1,1,
"OW_Adult_20130616",391-109,1,1,
"OW_Adult_20130616",397-103,1,1,
"OW_Adult_20130616",397-109,1,1,
"OW_Adult_20130616",ECR-103,1,1,
"OW_Adult_20130616",ECR-109,1,1,
"OW_Adult_20130616",KX-103,1,1,
"OW_Adult_20130616",KX-109,1,1,
"OW_Adult_20130616",292-103,1,2,
"OW_LocExp_20130616",292-103,2,1,
"OW_Adult_20130616",292-109,1,2,
"OW_LocExp_20130616",292-109,2,1,
"OW_Adult_20130616",391-103,1,2,
"OW_LocExp_20130616",391-103,2,1,
"OW_Adult_20130616",391-109,1,2,
"OW_LocExp_20130616",391-109,2,1,
"OW_Adult_20130616",397-103,1,2,
"OW_LocExp_20130616",397-103,2,1,
"OW_Adult_20130616",397-109,1,2,
"OW_LocExp_20130616",397-109,2,1,
"OW_Exp_20130616",KX-103,1,2,
"OW_Exp_20130616",KX-103,2,1,
"OW_Exp_20130616",KX-109,1,2,
"OW_Exp_20130616",KX-109,2,1,
