route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
17-103,110-Coast-Weekday-51,5959714-110-Coast-Weekday-51,"Pescadero",171001,1,,170095
17-103,110-Coast-Weekday-51,5959715-110-Coast-Weekday-51,"Moonridge Apts",171009,1,,170093
17-103,110-Coast-Weekday-51,5959716-110-Coast-Weekday-51,"Moonridge Apts",171015,1,,170094
17-103,110-Coast-Weekday-51,5959717-110-Coast-Weekday-51,"Moonridge Apts",171011,1,,170093
17-103,110-Coast-Weekday-51,5959718-110-Coast-Weekday-51,"Moonridge Apts",171021,1,,170094
17-103,110-Coast-Weekday-51,5959719-110-Coast-Weekday-51,"Moonridge Apts",171017,1,,170094
17-103,110-Coast-Weekday-51,5959720-110-Coast-Weekday-51,"Moonridge Apts",171027,1,,170094
17-103,110-Coast-Weekday-51,5959721-110-Coast-Weekday-51,"Pescadero",171023,1,,170092
17-103,110-Coast-Weekday-51,5959722-110-Coast-Weekday-51,"Moonridge Apts",171013,1,,170093
17-103,110-Coast-Weekday-51,5959723-110-Coast-Weekday-51,"Moonridge Apts",171025,1,,170094
17-103,110-Coast-Weekday-51,5959724-110-Coast-Weekday-51,"Moonridge Apts",171003,1,,170093
17-103,110-Coast-Weekday-51,5959725-110-Coast-Weekday-51,"Montara",171002,0,,170089
17-103,110-Coast-Weekday-51,5959726-110-Coast-Weekday-51,"Montara",171006,0,,170087
17-103,110-Coast-Weekday-51,5959727-110-Coast-Weekday-51,"Montara",171012,0,,170089
17-103,110-Coast-Weekday-51,5959728-110-Coast-Weekday-51,"Montara",171014,0,,170089
17-103,110-Coast-Weekday-51,5959729-110-Coast-Weekday-51,"Montara",171016,0,,170088
17-103,110-Coast-Weekday-51,5959730-110-Coast-Weekday-51,"Montara",171018,0,,170088
17-103,110-Coast-Weekday-51,5959731-110-Coast-Weekday-51,"Montara",171024,0,,170088
17-103,110-Coast-Weekday-51,5959732-110-Coast-Weekday-51,"Montara",171026,0,,170088
17-103,110-Coast-Weekday-51,5959733-110-Coast-Weekday-51,"Montara",171028,0,,170086
17-103,110-Coast-Weekday-51,5959734-110-Coast-Weekday-51,"Moonridge Apts",171007,1,,170093
17-103,110-Coast-Weekday-51,5959735-110-Coast-Weekday-51,"Montara",171004,0,,170089
